Info    : Reading '../results/phiFEM/t03/domain.msh'...
Info    : 13 entities
Info    : 23479 nodes
Info    : 46464 elements
Info    : Done reading '../results/phiFEM/t03/domain.msh'
> Nbr of triangles = 46356
> Iterations:
i =   0 | cost = 4.144808 | nder = 1.5757 | steps =  0 | 
i =   1 | cost = 3.996037 | nder = 0.9912 | steps = 16 | 
i =   2 | cost = 3.976636 | nder = 0.8023 | steps = 15 | 
i =   3 | cost = 3.984167 | nder = 0.7535 | steps = 15 | 
i =   4 | cost = 3.898160 | nder = 0.7136 | steps = 15 | 
i =   5 | cost = 3.855833 | nder = 0.6965 | steps = 16 | 
i =   6 | cost = 3.839666 | nder = 0.7068 | steps = 15 | 
i =   7 | cost = 3.802888 | nder = 0.7126 | steps = 16 | 
i =   8 | cost = 3.753637 | nder = 0.7159 | steps = 16 | 
i =   9 | cost = 3.741476 | nder = 0.7283 | steps = 16 | 
i =  10 | cost = 3.694859 | nder = 0.7372 | steps = 16 | 
i =  11 | cost = 3.651059 | nder = 0.7341 | steps = 16 | 
i =  12 | cost = 3.608982 | nder = 0.7426 | steps = 16 | 
i =  13 | cost = 3.570963 | nder = 0.7432 | steps = 16 | 
i =  14 | cost = 3.542041 | nder = 0.7585 | steps = 16 | 
i =  15 | cost = 3.515745 | nder = 0.7461 | steps = 15 | 
i =  16 | cost = 3.470451 | nder = 0.7479 | steps = 15 | 
i =  17 | cost = 3.450241 | nder = 0.7497 | steps = 16 | 
i =  18 | cost = 3.407974 | nder = 0.7445 | steps = 16 | 
i =  19 | cost = 3.430662 | nder = 0.7388 | steps = 16 | 
i =  20 | cost = 3.391349 | nder = 0.7415 | steps = 15 | 
i =  21 | cost = 3.317354 | nder = 0.7447 | steps = 16 | 
i =  22 | cost = 3.282353 | nder = 0.7336 | steps = 16 | 
i =  23 | cost = 3.298006 | nder = 0.7279 | steps = 16 | 
i =  24 | cost = 3.234830 | nder = 0.7438 | steps = 16 | 
i =  25 | cost = 3.211512 | nder = 0.7249 | steps = 16 | 
i =  26 | cost = 3.190364 | nder = 0.7229 | steps = 16 | 
i =  27 | cost = 3.166084 | nder = 0.7066 | steps = 16 | 
i =  28 | cost = 3.140674 | nder = 0.6995 | steps = 16 | 
i =  29 | cost = 3.112218 | nder = 0.6943 | steps = 16 | 
i =  30 | cost = 3.087669 | nder = 0.6830 | steps = 16 | 
i =  31 | cost = 3.063131 | nder = 0.6640 | steps = 16 | 
i =  32 | cost = 3.044065 | nder = 0.6520 | steps = 16 | 
i =  33 | cost = 3.042468 | nder = 0.6518 | steps = 15 | 
