Info    : Reading '../results/t06/domain0.msh'...
Info    : 281 entities
Info    : 19336 nodes
Info    : 38670 elements
Info    : Done reading '../results/t06/domain0.msh'
Info    : Reading '../results/t06/domain.msh'...
Info    : 161 entities
Info    : 6503 nodes
Info    : 13004 elements
Info    : Done reading '../results/t06/domain.msh'

	Elasticity inverse problem (Data Parallelism)

> Path = ../results/t06
> Nbr of triangles = 12713
> Nbr of triangles for data generation = 38193
> Iterations:
i =   0 | cost = 0.078866 | nder = 0.2614 | steps =  0 | 
i =   1 | cost = 0.058445 | nder = 0.2578 | steps = 15 | 
i =   2 | cost = 0.037846 | nder = 0.2207 | steps = 15 | 
i =   3 | cost = 0.021100 | nder = 0.1745 | steps = 15 | 
i =   4 | cost = 0.009909 | nder = 0.1089 | steps = 16 | 
i =   5 | cost = 0.004045 | nder = 0.0361 | steps = 16 | 
i =   6 | cost = 0.003185 | nder = 0.0227 | steps = 15 | 
i =   7 | cost = 0.002781 | nder = 0.0202 | steps = 16 | 
i =   8 | cost = 0.002476 | nder = 0.0172 | steps = 16 | 
i =   9 | cost = 0.002250 | nder = 0.0163 | steps = 16 | 
i =  10 | cost = 0.002038 | nder = 0.0145 | steps = 16 | 
i =  11 | cost = 0.001885 | nder = 0.0143 | steps = 16 | 
i =  12 | cost = 0.001700 | nder = 0.0130 | steps = 16 | 
i =  13 | cost = 0.001569 | nder = 0.0130 | steps = 16 | 
i =  14 | cost = 0.001456 | nder = 0.0120 | steps = 16 | 
i =  15 | cost = 0.001358 | nder = 0.0111 | steps = 16 | 
i =  16 | cost = 0.001276 | nder = 0.0122 | steps = 15 | 
i =  17 | cost = 0.001160 | nder = 0.0110 | steps = 16 | 
i =  18 | cost = 0.001050 | nder = 0.0100 | steps = 16 | 
i =  19 | cost = 0.000979 | nder = 0.0107 | steps = 15 | 
i =  20 | cost = 0.000895 | nder = 0.0097 | steps = 16 | 
i =  21 | cost = 0.000830 | nder = 0.0090 | steps = 16 | 
i =  22 | cost = 0.000765 | nder = 0.0084 | steps = 15 | 
