Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i =   0 | cost = 1.9148 | cstr = 2.0368 | nder = 3.5789 | steps =  0 | lagr = 1.9148 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 1.8875 | cstr = 2.0478 | nder = 2.5046 | steps = 12 | lagr = 2.9843 | lm = 2.0935 | mu = 0.0000
i =   2 | cost = 1.8804 | cstr = 2.0390 | nder = 2.6887 | steps = 12 | lagr = 3.1606 | lm = 2.2701 | mu = 0.1943
i =   3 | cost = 1.8785 | cstr = 2.0278 | nder = 2.9080 | steps = 11 | lagr = 3.3341 | lm = 2.4430 | mu = 0.3894
i =   4 | cost = 1.8844 | cstr = 2.0142 | nder = 3.1294 | steps = 12 | lagr = 3.5060 | lm = 2.6121 | mu = 0.5856
i =   5 | cost = 1.8904 | cstr = 1.9998 | nder = 3.3738 | steps = 13 | lagr = 3.6721 | lm = 2.7809 | mu = 0.7832
i =   6 | cost = 1.9032 | cstr = 1.9853 | nder = 3.6243 | steps = 12 | lagr = 3.8409 | lm = 2.9509 | mu = 0.9824
i =   7 | cost = 1.9126 | cstr = 1.9697 | nder = 3.8940 | steps = 13 | lagr = 3.9993 | lm = 3.1206 | mu = 1.1830
i =   8 | cost = 1.9295 | cstr = 1.9538 | nder = 4.1460 | steps = 12 | lagr = 4.1596 | lm = 3.2910 | mu = 1.3854
i =   9 | cost = 1.9417 | cstr = 1.9382 | nder = 4.4264 | steps = 12 | lagr = 4.3123 | lm = 3.4640 | mu = 1.5895
i =  10 | cost = 1.9536 | cstr = 1.9213 | nder = 4.7112 | steps = 12 | lagr = 4.4554 | lm = 3.6360 | mu = 1.7953
i =  11 | cost = 1.9691 | cstr = 1.9053 | nder = 4.9937 | steps = 12 | lagr = 4.6010 | lm = 3.8116 | mu = 2.0029
i =  12 | cost = 1.9889 | cstr = 1.8864 | nder = 5.2747 | steps = 12 | lagr = 4.7349 | lm = 3.9834 | mu = 2.2123
