Info    : Reading '../results/t10/domain.msh'...
Info    : 9 entities
Info    : 72857 nodes
Info    : 145712 elements
Info    : [  0%] Reading elements                                                                                Info    : [ 10%] Reading elements                                                                                Info    : [ 20%] Reading elements                                                                                Info    : [ 30%] Reading elements                                                                                Info    : [ 40%] Reading elements                                                                                Info    : [ 50%] Reading elements                                                                                Info    : [ 60%] Reading elements                                                                                Info    : [ 70%] Reading elements                                                                                Info    : [ 80%] Reading elements                                                                                Info    : [ 90%] Reading elements                                                                                                                                                                Info    : Done reading '../results/t10/domain.msh'

	Heat conduction 2 - Data Parallelism

> Path = ../results/t10
> Nbr of triangles = 144712
> Iterations:
i =   0 | cost = 0.1025 | cstr = 1.3405 | nder = 0.2571 | steps =  0 | lagr = 0.1025 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 0.0968 | cstr = 1.3550 | nder = 0.2001 | steps = 16 | lagr = 0.2227 | lm = 0.7094 | mu = 0.0000
i =   2 | cost = 0.1011 | cstr = 1.3437 | nder = 0.3217 | steps = 15 | lagr = 0.3001 | lm = 0.9224 | mu = 0.2357
i =   3 | cost = 0.1090 | cstr = 1.3243 | nder = 0.4321 | steps = 15 | lagr = 0.3660 | lm = 1.1166 | mu = 0.4686
i =   4 | cost = 0.1206 | cstr = 1.2977 | nder = 0.5297 | steps = 15 | lagr = 0.4163 | lm = 1.2908 | mu = 0.6961
i =   5 | cost = 0.1358 | cstr = 1.2653 | nder = 0.6132 | steps = 16 | lagr = 0.4489 | lm = 1.4450 | mu = 0.9149
i =   6 | cost = 0.1560 | cstr = 1.2271 | nder = 0.6760 | steps = 15 | lagr = 0.4621 | lm = 1.5746 | mu = 1.1208
i =   7 | cost = 0.1803 | cstr = 1.1851 | nder = 0.7166 | steps = 16 | lagr = 0.4566 | lm = 1.6776 | mu = 1.3078
i =   8 | cost = 0.2090 | cstr = 1.1392 | nder = 0.7288 | steps = 16 | lagr = 0.4330 | lm = 1.7475 | mu = 1.4693
i =   9 | cost = 0.2403 | cstr = 1.0934 | nder = 0.7137 | steps = 16 | lagr = 0.3983 | lm = 1.7840 | mu = 1.5974
i =  10 | cost = 0.2729 | cstr = 1.0495 | nder = 0.6723 | steps = 16 | lagr = 0.3588 | lm = 1.7856 | mu = 1.6868
i =  11 | cost = 0.3065 | cstr = 1.0077 | nder = 0.6067 | steps = 16 | lagr = 0.3199 | lm = 1.7506 | mu = 1.7352
i =  12 | cost = 0.3365 | cstr = 0.9715 | nder = 0.5318 | steps = 16 | lagr = 0.2877 | lm = 1.6860 | mu = 1.7428
i =  13 | cost = 0.3621 | cstr = 0.9418 | nder = 0.4559 | steps = 16 | lagr = 0.2657 | lm = 1.5986 | mu = 1.7148
i =  14 | cost = 0.3816 | cstr = 0.9181 | nder = 0.3877 | steps = 16 | lagr = 0.2524 | lm = 1.4945 | mu = 1.6582
i =  15 | cost = 0.3957 | cstr = 0.9003 | nder = 0.3305 | steps = 15 | lagr = 0.2482 | lm = 1.3804 | mu = 1.5796
i =  16 | cost = 0.4023 | cstr = 0.8896 | nder = 0.2949 | steps = 15 | lagr = 0.2505 | lm = 1.2646 | mu = 1.4853
i =  17 | cost = 0.4056 | cstr = 0.8822 | nder = 0.2770 | steps = 16 | lagr = 0.2566 | lm = 1.1463 | mu = 1.3817
i =  18 | cost = 0.4018 | cstr = 0.8803 | nder = 0.2804 | steps = 16 | lagr = 0.2638 | lm = 1.0329 | mu = 1.2721
i =  19 | cost = 0.3946 | cstr = 0.8820 | nder = 0.2913 | steps = 16 | lagr = 0.2715 | lm = 0.9253 | mu = 1.1610
i =  20 | cost = 0.3855 | cstr = 0.8868 | nder = 0.3093 | steps = 15 | lagr = 0.2793 | lm = 0.8253 | mu = 1.0514
i =  21 | cost = 0.3718 | cstr = 0.8950 | nder = 0.3282 | steps = 16 | lagr = 0.2835 | lm = 0.7362 | mu = 0.9460
i =  22 | cost = 0.3556 | cstr = 0.9056 | nder = 0.3452 | steps = 16 | lagr = 0.2845 | lm = 0.6589 | mu = 0.8476
i =  23 | cost = 0.3388 | cstr = 0.9175 | nder = 0.3593 | steps = 16 | lagr = 0.2830 | lm = 0.5936 | mu = 0.7585
i =  24 | cost = 0.3205 | cstr = 0.9317 | nder = 0.3657 | steps = 16 | lagr = 0.2787 | lm = 0.5437 | mu = 0.6801
i =  25 | cost = 0.2995 | cstr = 0.9474 | nder = 0.3632 | steps = 16 | lagr = 0.2700 | lm = 0.5097 | mu = 0.6147
i =  26 | cost = 0.2818 | cstr = 0.9628 | nder = 0.3525 | steps = 16 | lagr = 0.2622 | lm = 0.4898 | mu = 0.5641
i =  27 | cost = 0.2630 | cstr = 0.9777 | nder = 0.3368 | steps = 16 | lagr = 0.2517 | lm = 0.4836 | mu = 0.5281
i =  28 | cost = 0.2482 | cstr = 0.9908 | nder = 0.3171 | steps = 16 | lagr = 0.2436 | lm = 0.4880 | mu = 0.5065
i =  29 | cost = 0.2338 | cstr = 1.0035 | nder = 0.2915 | steps = 16 | lagr = 0.2356 | lm = 0.5045 | mu = 0.4975
i =  30 | cost = 0.2217 | cstr = 1.0132 | nder = 0.2684 | steps = 16 | lagr = 0.2285 | lm = 0.5273 | mu = 0.5009
i =  31 | cost = 0.2115 | cstr = 1.0212 | nder = 0.2473 | steps = 16 | lagr = 0.2229 | lm = 0.5560 | mu = 0.5137
i =  32 | cost = 0.2040 | cstr = 1.0273 | nder = 0.2302 | steps = 16 | lagr = 0.2193 | lm = 0.5887 | mu = 0.5342
i =  33 | cost = 0.1976 | cstr = 1.0306 | nder = 0.2205 | steps = 15 | lagr = 0.2157 | lm = 0.6217 | mu = 0.5605
i =  34 | cost = 0.1924 | cstr = 1.0322 | nder = 0.2140 | steps = 16 | lagr = 0.2125 | lm = 0.6544 | mu = 0.5900
i =  35 | cost = 0.1899 | cstr = 1.0315 | nder = 0.2127 | steps = 16 | lagr = 0.2104 | lm = 0.6839 | mu = 0.6210
