Info    : Reading '../results/t101/domain.msh'...
Info    : 13 entities
Info    : 23479 nodes
Info    : 46464 elements
Info    : Done reading '../results/t101/domain.msh'
> Nbr of triangles = 46356
> Iterations:
i =   0 | cost = 0.900498 | nder = 1.6448 | steps =  0 | 
i =   1 | cost = 0.888612 | nder = 1.4509 | steps = 17 | 
i =   2 | cost = 0.875507 | nder = 1.2319 | steps = 16 | 
i =   3 | cost = 0.867015 | nder = 1.0544 | steps = 16 | 
i =   4 | cost = 0.857197 | nder = 0.8919 | steps = 17 | 
i =   5 | cost = 0.850693 | nder = 0.7782 | steps = 18 | 
i =   6 | cost = 0.843992 | nder = 0.6805 | steps = 17 | 
i =   7 | cost = 0.838550 | nder = 0.6036 | steps = 20 | 
i =   8 | cost = 0.834412 | nder = 0.5393 | steps = 19 | 
i =   9 | cost = 0.829927 | nder = 0.4794 | steps = 18 | 
i =  10 | cost = 0.826260 | nder = 0.4489 | steps = 19 | 
i =  11 | cost = 0.822759 | nder = 0.4160 | steps = 19 | 
i =  12 | cost = 0.819433 | nder = 0.3964 | steps = 19 | 
i =  13 | cost = 0.816436 | nder = 0.3649 | steps = 18 | 
i =  14 | cost = 0.813907 | nder = 0.3588 | steps = 20 | 
i =  15 | cost = 0.810924 | nder = 0.3500 | steps = 18 | 
i =  16 | cost = 0.808204 | nder = 0.3440 | steps = 18 | 
i =  17 | cost = 0.805512 | nder = 0.3352 | steps = 20 | 
i =  18 | cost = 0.803020 | nder = 0.3331 | steps = 19 | 
i =  19 | cost = 0.800369 | nder = 0.3279 | steps = 19 | 
i =  20 | cost = 0.797831 | nder = 0.3251 | steps = 18 | 
i =  21 | cost = 0.795234 | nder = 0.3246 | steps = 19 | 
i =  22 | cost = 0.792742 | nder = 0.3190 | steps = 19 | 
i =  23 | cost = 0.790096 | nder = 0.3196 | steps = 18 | 
i =  24 | cost = 0.787672 | nder = 0.3179 | steps = 18 | 
i =  25 | cost = 0.785288 | nder = 0.3186 | steps = 19 | 
i =  26 | cost = 0.782832 | nder = 0.3180 | steps = 18 | 
i =  27 | cost = 0.780109 | nder = 0.3184 | steps = 19 | 
i =  28 | cost = 0.777827 | nder = 0.3184 | steps = 19 | 
i =  29 | cost = 0.775341 | nder = 0.3168 | steps = 19 | 
i =  30 | cost = 0.772520 | nder = 0.3161 | steps = 18 | 
i =  31 | cost = 0.770216 | nder = 0.3166 | steps = 20 | 
i =  32 | cost = 0.767406 | nder = 0.3151 | steps = 20 | 
i =  33 | cost = 0.764533 | nder = 0.3142 | steps = 18 | 
i =  34 | cost = 0.761996 | nder = 0.3114 | steps = 20 | 
i =  35 | cost = 0.759415 | nder = 0.3099 | steps = 19 | 
i =  36 | cost = 0.756720 | nder = 0.3072 | steps = 19 | 
i =  37 | cost = 0.754191 | nder = 0.3056 | steps = 20 | 
i =  38 | cost = 0.751611 | nder = 0.3025 | steps = 18 | 
i =  39 | cost = 0.749084 | nder = 0.3009 | steps = 19 | 
i =  40 | cost = 0.746531 | nder = 0.2986 | steps = 17 | 
i =  41 | cost = 0.743933 | nder = 0.2946 | steps = 20 | 
i =  42 | cost = 0.741815 | nder = 0.2917 | steps = 17 | 
i =  43 | cost = 0.739101 | nder = 0.2883 | steps = 20 | 
i =  44 | cost = 0.737178 | nder = 0.2868 | steps = 20 | 
i =  45 | cost = 0.734789 | nder = 0.2815 | steps = 19 | 
i =  46 | cost = 0.732534 | nder = 0.2786 | steps = 19 | 
i =  47 | cost = 0.730452 | nder = 0.2724 | steps = 19 | 
i =  48 | cost = 0.728331 | nder = 0.2696 | steps = 18 | 
i =  49 | cost = 0.726057 | nder = 0.2652 | steps = 19 | 
i =  50 | cost = 0.724143 | nder = 0.2607 | steps = 19 | 
i =  51 | cost = 0.721556 | nder = 0.2533 | steps = 19 | 
i =  52 | cost = 0.719767 | nder = 0.2477 | steps = 19 | 
i =  53 | cost = 0.717799 | nder = 0.2439 | steps = 19 | 
i =  54 | cost = 0.715708 | nder = 0.2393 | steps = 20 | 
i =  55 | cost = 0.713703 | nder = 0.2303 | steps = 18 | 
i =  56 | cost = 0.711567 | nder = 0.2215 | steps = 20 | 
i =  57 | cost = 0.709913 | nder = 0.2143 | steps = 19 | 
i =  58 | cost = 0.708168 | nder = 0.2097 | steps = 20 | 
i =  59 | cost = 0.706619 | nder = 0.2041 | steps = 21 | 
i =  60 | cost = 0.705211 | nder = 0.1958 | steps = 19 | 
i =  61 | cost = 0.703869 | nder = 0.1901 | steps = 19 | 
i =  62 | cost = 0.702516 | nder = 0.1830 | steps = 19 | 
i =  63 | cost = 0.701406 | nder = 0.1776 | steps = 20 | 
i =  64 | cost = 0.700232 | nder = 0.1726 | steps = 19 | 
i =  65 | cost = 0.699298 | nder = 0.1672 | steps = 20 | 
i =  66 | cost = 0.698362 | nder = 0.1646 | steps = 19 | 
i =  67 | cost = 0.697635 | nder = 0.1618 | steps = 20 | 
i =  68 | cost = 0.696962 | nder = 0.1571 | steps = 19 | 
i =  69 | cost = 0.696305 | nder = 0.1528 | steps = 20 | 
i =  70 | cost = 0.695715 | nder = 0.1499 | steps = 22 | 
i =  71 | cost = 0.695128 | nder = 0.1470 | steps = 19 | 
i =  72 | cost = 0.694742 | nder = 0.1476 | steps = 20 | 
i =  73 | cost = 0.694303 | nder = 0.1438 | steps = 20 | 
i =  74 | cost = 0.693944 | nder = 0.1435 | steps = 20 | 
i =  75 | cost = 0.693487 | nder = 0.1403 | steps = 21 | 
i =  76 | cost = 0.693109 | nder = 0.1352 | steps = 21 | 
i =  77 | cost = 0.692931 | nder = 0.1393 | steps = 18 | 
i =  78 | cost = 0.692719 | nder = 0.1376 | steps = 20 | 
i =  79 | cost = 0.692546 | nder = 0.1370 | steps = 20 | 
i =  80 | cost = 0.692291 | nder = 0.1335 | steps = 20 | 
i =  81 | cost = 0.691953 | nder = 0.1286 | steps = 22 | 
i =  82 | cost = 0.691903 | nder = 0.1301 | steps = 20 | 
i =  83 | cost = 0.691760 | nder = 0.1316 | steps = 20 | 
i =  84 | cost = 0.691680 | nder = 0.1359 | steps = 20 | 
i =  85 | cost = 0.691553 | nder = 0.1349 | steps = 18 | 
i =  86 | cost = 0.691528 | nder = 0.1343 | steps = 21 | 
i =  87 | cost = 0.691327 | nder = 0.1287 | steps = 20 | 
i =  88 | cost = 0.691312 | nder = 0.1326 | steps = 22 | 
i =  89 | cost = 0.691240 | nder = 0.1361 | steps = 19 | 
i =  90 | cost = 0.691208 | nder = 0.1411 | steps = 20 | 
i =  91 | cost = 0.691204 | nder = 0.1433 | steps = 20 | 
i =  92 | cost = 0.691028 | nder = 0.1389 | steps = 19 | 
i =  93 | cost = 0.691019 | nder = 0.1362 | steps = 20 | 
> Stopping condition reached!
> Assembly time = 11.301722728000186 s
> Resolution time = 233.32013683600007 s

