Info    : Reading '../results/t102/domain.msh'...
Info    : 13 entities
Info    : 16590 nodes
Info    : 32768 elements
Info    : Done reading '../results/t102/domain.msh'
> Iterations:
i =   0 | cost = 0.695779 | nder = 1.1231 | steps =  0 | 
i =   1 | cost = 0.686284 | nder = 0.9304 | steps = 14 | 
i =   2 | cost = 0.678088 | nder = 0.7970 | steps = 15 | 
i =   3 | cost = 0.672637 | nder = 0.6928 | steps = 15 | 
i =   4 | cost = 0.666636 | nder = 0.5951 | steps = 16 | 
i =   5 | cost = 0.662016 | nder = 0.5207 | steps = 17 | 
i =   6 | cost = 0.657566 | nder = 0.4651 | steps = 16 | 
i =   7 | cost = 0.654393 | nder = 0.4260 | steps = 19 | 
i =   8 | cost = 0.651170 | nder = 0.3800 | steps = 18 | 
i =   9 | cost = 0.648240 | nder = 0.3574 | steps = 17 | 
i =  10 | cost = 0.645339 | nder = 0.3347 | steps = 18 | 
i =  11 | cost = 0.642910 | nder = 0.3184 | steps = 18 | 
i =  12 | cost = 0.640158 | nder = 0.3076 | steps = 18 | 
i =  13 | cost = 0.637852 | nder = 0.2985 | steps = 18 | 
i =  14 | cost = 0.635299 | nder = 0.2909 | steps = 19 | 
i =  15 | cost = 0.633262 | nder = 0.2871 | steps = 17 | 
i =  16 | cost = 0.630681 | nder = 0.2858 | steps = 17 | 
i =  17 | cost = 0.628585 | nder = 0.2865 | steps = 19 | 
i =  18 | cost = 0.626146 | nder = 0.2849 | steps = 19 | 
i =  19 | cost = 0.624025 | nder = 0.2819 | steps = 18 | 
i =  20 | cost = 0.621720 | nder = 0.2800 | steps = 17 | 
i =  21 | cost = 0.619314 | nder = 0.2765 | steps = 19 | 
i =  22 | cost = 0.617092 | nder = 0.2762 | steps = 18 | 
i =  23 | cost = 0.614873 | nder = 0.2764 | steps = 18 | 
i =  24 | cost = 0.612705 | nder = 0.2777 | steps = 18 | 
i =  25 | cost = 0.610528 | nder = 0.2781 | steps = 18 | 
i =  26 | cost = 0.608432 | nder = 0.2792 | steps = 18 | 
i =  27 | cost = 0.606311 | nder = 0.2782 | steps = 18 | 
i =  28 | cost = 0.603954 | nder = 0.2775 | steps = 19 | 
i =  29 | cost = 0.601696 | nder = 0.2773 | steps = 18 | 
i =  30 | cost = 0.599517 | nder = 0.2762 | steps = 18 | 
i =  31 | cost = 0.597416 | nder = 0.2764 | steps = 19 | 
i =  32 | cost = 0.594829 | nder = 0.2765 | steps = 19 | 
i =  33 | cost = 0.592528 | nder = 0.2757 | steps = 17 | 
i =  34 | cost = 0.590179 | nder = 0.2745 | steps = 19 | 
i =  35 | cost = 0.587805 | nder = 0.2729 | steps = 19 | 
i =  36 | cost = 0.585334 | nder = 0.2709 | steps = 18 | 
i =  37 | cost = 0.582939 | nder = 0.2698 | steps = 19 | 
i =  38 | cost = 0.580672 | nder = 0.2676 | steps = 17 | 
i =  39 | cost = 0.578544 | nder = 0.2661 | steps = 19 | 
i =  40 | cost = 0.576083 | nder = 0.2638 | steps = 17 | 
i =  41 | cost = 0.573823 | nder = 0.2618 | steps = 20 | 
i =  42 | cost = 0.571689 | nder = 0.2593 | steps = 17 | 
i =  43 | cost = 0.569525 | nder = 0.2566 | steps = 19 | 
i =  44 | cost = 0.567434 | nder = 0.2548 | steps = 19 | 
i =  45 | cost = 0.565083 | nder = 0.2508 | steps = 18 | 
i =  46 | cost = 0.562933 | nder = 0.2475 | steps = 18 | 
i =  47 | cost = 0.561145 | nder = 0.2447 | steps = 19 | 
i =  48 | cost = 0.558813 | nder = 0.2406 | steps = 18 | 
i =  49 | cost = 0.556895 | nder = 0.2374 | steps = 19 | 
i =  50 | cost = 0.554672 | nder = 0.2318 | steps = 19 | 
i =  51 | cost = 0.552079 | nder = 0.2256 | steps = 19 | 
i =  52 | cost = 0.550290 | nder = 0.2212 | steps = 19 | 
i =  53 | cost = 0.548261 | nder = 0.2189 | steps = 18 | 
i =  54 | cost = 0.546521 | nder = 0.2155 | steps = 19 | 
i =  55 | cost = 0.544898 | nder = 0.2088 | steps = 17 | 
i =  56 | cost = 0.542955 | nder = 0.2044 | steps = 19 | 
i =  57 | cost = 0.541261 | nder = 0.1982 | steps = 18 | 
i =  58 | cost = 0.539506 | nder = 0.1921 | steps = 19 | 
i =  59 | cost = 0.537934 | nder = 0.1859 | steps = 20 | 
i =  60 | cost = 0.536482 | nder = 0.1802 | steps = 19 | 
i =  61 | cost = 0.535221 | nder = 0.1764 | steps = 19 | 
i =  62 | cost = 0.533879 | nder = 0.1714 | steps = 19 | 
i =  63 | cost = 0.532574 | nder = 0.1654 | steps = 19 | 
i =  64 | cost = 0.531423 | nder = 0.1628 | steps = 18 | 
i =  65 | cost = 0.530251 | nder = 0.1601 | steps = 20 | 
i =  66 | cost = 0.529390 | nder = 0.1597 | steps = 19 | 
i =  67 | cost = 0.528714 | nder = 0.1635 | steps = 20 | 
i =  68 | cost = 0.527724 | nder = 0.1580 | steps = 19 | 
i =  69 | cost = 0.526975 | nder = 0.1564 | steps = 19 | 
i =  70 | cost = 0.526153 | nder = 0.1634 | steps = 20 | 
i =  71 | cost = 0.525876 | nder = 0.1853 | steps = 19 | 
i =  72 | cost = 0.525388 | nder = 0.2093 | steps = 19 | 
i =  73 | cost = 0.524800 | nder = 0.1887 | steps = 19 | 
i =  74 | cost = 0.524470 | nder = 0.1926 | steps = 20 | 
i =  75 | cost = 0.524105 | nder = 0.1916 | steps = 20 | 
i =  76 | cost = 0.523761 | nder = 0.1827 | steps = 20 | 
i =  77 | cost = 0.523474 | nder = 0.1936 | steps = 17 | 
i =  78 | cost = 0.523123 | nder = 0.1978 | steps = 19 | 
i =  79 | cost = 0.522931 | nder = 0.2189 | steps = 18 | 
i =  80 | cost = 0.522727 | nder = 0.2108 | steps = 19 | 
i =  81 | cost = 0.522290 | nder = 0.1937 | steps = 20 | 
i =  82 | cost = 0.522057 | nder = 0.2079 | steps = 19 | 
i =  83 | cost = 0.521644 | nder = 0.2014 | steps = 19 | 
i =  84 | cost = 0.521702 | nder = 0.2270 | steps = 19 | 
i =  85 | cost = 0.521522 | nder = 0.2116 | steps = 17 | 
i =  86 | cost = 0.521413 | nder = 0.2286 | steps = 19 | 
i =  87 | cost = 0.521165 | nder = 0.2135 | steps = 19 | 
i =  88 | cost = 0.521015 | nder = 0.1994 | steps = 20 | 
i =  89 | cost = 0.520819 | nder = 0.1996 | steps = 18 | 
i =  90 | cost = 0.520682 | nder = 0.2092 | steps = 19 | 
i =  91 | cost = 0.520638 | nder = 0.2345 | steps = 19 | 
i =  92 | cost = 0.520466 | nder = 0.2457 | steps = 18 | 
i =  93 | cost = 0.520288 | nder = 0.2057 | steps = 19 | 
i =  94 | cost = 0.520306 | nder = 0.2452 | steps = 18 | 
i =  95 | cost = 0.520202 | nder = 0.2251 | steps = 18 | 
i =  96 | cost = 0.520242 | nder = 0.2330 | steps = 19 | 
i =  97 | cost = 0.520009 | nder = 0.2263 | steps = 19 | 
i =  98 | cost = 0.519975 | nder = 0.2358 | steps = 18 | 
i =  99 | cost = 0.519795 | nder = 0.2278 | steps = 19 | 
i = 100 | cost = 0.519687 | nder = 0.2161 | steps = 19 | 
i = 101 | cost = 0.519619 | nder = 0.2194 | steps = 17 | 
i = 102 | cost = 0.519628 | nder = 0.2266 | steps = 17 | 
i = 103 | cost = 0.519429 | nder = 0.2191 | steps = 20 | 
i = 104 | cost = 0.519546 | nder = 0.2579 | steps = 18 | 
i = 105 | cost = 0.519199 | nder = 0.2055 | steps = 19 | 
i = 106 | cost = 0.519395 | nder = 0.2342 | steps = 18 | 
i = 107 | cost = 0.519327 | nder = 0.2488 | steps = 18 | 
i = 108 | cost = 0.519182 | nder = 0.2304 | steps = 18 | 
i = 109 | cost = 0.519092 | nder = 0.2425 | steps = 19 | 
i = 110 | cost = 0.519066 | nder = 0.2449 | steps = 19 | 
i = 111 | cost = 0.519001 | nder = 0.2250 | steps = 20 | 
i = 112 | cost = 0.518955 | nder = 0.2418 | steps = 20 | 
i = 113 | cost = 0.518815 | nder = 0.2284 | steps = 19 | 
i = 114 | cost = 0.518909 | nder = 0.2443 | steps = 19 | 
> Stopping condition reached!
> Assembly time = 5.5167422920000035 s
> Resolution time = 927.3400252179999 s
