Info    : Reading '../results/t11/domain.msh'...
Info    : 9 entities
Info    : 11827 nodes
Info    : 23652 elements
Info    : Done reading '../results/t11/domain.msh'

	Heat conduction with one source - Data Parallelism

> Path = ../results/t11
> Nbr of triangles = 23252
> Iterations:
i =   0 | cost = 0.1055 | cstr = 1.6390 | nder = 0.1011 | steps =  0 | lagr = 0.1055 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 0.1047 | cstr = 1.6445 | nder = 0.9032 | steps = 16 | lagr = 0.5196 | lm = 1.2877 | mu = 0.0000
i =   2 | cost = 0.1097 | cstr = 1.5803 | nder = 1.0508 | steps = 15 | lagr = 0.5865 | lm = 1.4014 | mu = 0.2420
i =   3 | cost = 0.1166 | cstr = 1.4973 | nder = 1.1792 | steps = 15 | lagr = 0.6067 | lm = 1.4824 | mu = 0.4888
i =   4 | cost = 0.1254 | cstr = 1.4062 | nder = 1.2943 | steps = 15 | lagr = 0.5901 | lm = 1.5497 | mu = 0.7380
i =   5 | cost = 0.1375 | cstr = 1.2971 | nder = 1.3581 | steps = 16 | lagr = 0.5173 | lm = 1.5753 | mu = 0.9817
i =   6 | cost = 0.1518 | cstr = 1.1802 | nder = 1.3611 | steps = 15 | lagr = 0.4006 | lm = 1.5601 | mu = 1.2001
i =   7 | cost = 0.1696 | cstr = 1.0644 | nder = 1.2794 | steps = 16 | lagr = 0.2612 | lm = 1.4872 | mu = 1.3585
i =   8 | cost = 0.1872 | cstr = 0.9569 | nder = 1.1020 | steps = 16 | lagr = 0.1278 | lm = 1.3352 | mu = 1.4213
i =   9 | cost = 0.2047 | cstr = 0.8691 | nder = 0.8576 | steps = 16 | lagr = 0.0414 | lm = 1.1174 | mu = 1.3789
i =  10 | cost = 0.2157 | cstr = 0.8084 | nder = 0.6158 | steps = 16 | lagr = 0.0114 | lm = 0.8749 | mu = 1.2576
i =  11 | cost = 0.2191 | cstr = 0.7714 | nder = 0.4184 | steps = 16 | lagr = 0.0216 | lm = 0.6357 | mu = 1.0924
i =  12 | cost = 0.2153 | cstr = 0.7616 | nder = 0.3018 | steps = 16 | lagr = 0.0562 | lm = 0.4291 | mu = 0.9055
i =  13 | cost = 0.2087 | cstr = 0.7650 | nder = 0.2706 | steps = 16 | lagr = 0.0961 | lm = 0.2441 | mu = 0.7137
i =  14 | cost = 0.1977 | cstr = 0.7844 | nder = 0.2922 | steps = 16 | lagr = 0.1312 | lm = 0.0931 | mu = 0.5238
i =  15 | cost = 0.1865 | cstr = 0.8118 | nder = 0.3372 | steps = 15 | lagr = 0.1570 | lm = -0.0313 | mu = 0.3447
i =  16 | cost = 0.1761 | cstr = 0.8476 | nder = 0.3796 | steps = 15 | lagr = 0.1715 | lm = -0.1220 | mu = 0.1824
i =  17 | cost = 0.1659 | cstr = 0.8864 | nder = 0.4016 | steps = 16 | lagr = 0.1736 | lm = -0.1816 | mu = 0.0453
i =  18 | cost = 0.1561 | cstr = 0.9296 | nder = 0.3911 | steps = 16 | lagr = 0.1653 | lm = -0.2013 | mu = -0.0607
i =  19 | cost = 0.1487 | cstr = 0.9682 | nder = 0.3625 | steps = 16 | lagr = 0.1537 | lm = -0.1919 | mu = -0.1284
i =  20 | cost = 0.1420 | cstr = 1.0059 | nder = 0.3032 | steps = 15 | lagr = 0.1411 | lm = -0.1477 | mu = -0.1595
i =  21 | cost = 0.1370 | cstr = 1.0375 | nder = 0.2266 | steps = 16 | lagr = 0.1326 | lm = -0.0787 | mu = -0.1537
i =  22 | cost = 0.1334 | cstr = 1.0603 | nder = 0.1479 | steps = 16 | lagr = 0.1300 | lm = 0.0033 | mu = -0.1172
i =  23 | cost = 0.1311 | cstr = 1.0745 | nder = 0.0902 | steps = 16 | lagr = 0.1323 | lm = 0.0897 | mu = -0.0591
i =  24 | cost = 0.1300 | cstr = 1.0792 | nder = 0.0990 | steps = 16 | lagr = 0.1372 | lm = 0.1702 | mu = 0.0120
i =  25 | cost = 0.1296 | cstr = 1.0780 | nder = 0.1495 | steps = 16 | lagr = 0.1425 | lm = 0.2432 | mu = 0.0874
i =  26 | cost = 0.1302 | cstr = 1.0712 | nder = 0.2005 | steps = 16 | lagr = 0.1467 | lm = 0.3039 | mu = 0.1616
i =  27 | cost = 0.1315 | cstr = 1.0570 | nder = 0.2340 | steps = 16 | lagr = 0.1478 | lm = 0.3433 | mu = 0.2295
i =  28 | cost = 0.1331 | cstr = 1.0386 | nder = 0.2476 | steps = 16 | lagr = 0.1455 | lm = 0.3613 | mu = 0.2842
i =  29 | cost = 0.1352 | cstr = 1.0195 | nder = 0.2428 | steps = 16 | lagr = 0.1418 | lm = 0.3603 | mu = 0.3215
i =  30 | cost = 0.1372 | cstr = 1.0004 | nder = 0.2216 | steps = 16 | lagr = 0.1373 | lm = 0.3411 | mu = 0.3403
i =  31 | cost = 0.1383 | cstr = 0.9878 | nder = 0.1978 | steps = 16 | lagr = 0.1343 | lm = 0.3162 | mu = 0.3407
i =  32 | cost = 0.1394 | cstr = 0.9756 | nder = 0.1653 | steps = 16 | lagr = 0.1319 | lm = 0.2801 | mu = 0.3288
i =  33 | cost = 0.1400 | cstr = 0.9673 | nder = 0.1339 | steps = 15 | lagr = 0.1311 | lm = 0.2400 | mu = 0.3053
i =  34 | cost = 0.1401 | cstr = 0.9618 | nder = 0.1072 | steps = 16 | lagr = 0.1311 | lm = 0.1975 | mu = 0.2738
i =  35 | cost = 0.1400 | cstr = 0.9596 | nder = 0.0935 | steps = 16 | lagr = 0.1320 | lm = 0.1565 | mu = 0.2371
i =  36 | cost = 0.1391 | cstr = 0.9609 | nder = 0.0930 | steps = 16 | lagr = 0.1329 | lm = 0.1203 | mu = 0.1984
i =  37 | cost = 0.1378 | cstr = 0.9665 | nder = 0.0982 | steps = 16 | lagr = 0.1335 | lm = 0.0941 | mu = 0.1610
i =  38 | cost = 0.1362 | cstr = 0.9729 | nder = 0.1031 | steps = 15 | lagr = 0.1334 | lm = 0.0748 | mu = 0.1289
i =  39 | cost = 0.1349 | cstr = 0.9789 | nder = 0.1079 | steps = 16 | lagr = 0.1331 | lm = 0.0608 | mu = 0.1029
i =  40 | cost = 0.1333 | cstr = 0.9871 | nder = 0.1059 | steps = 15 | lagr = 0.1324 | lm = 0.0570 | mu = 0.0827
i =  41 | cost = 0.1317 | cstr = 0.9964 | nder = 0.0973 | steps = 16 | lagr = 0.1315 | lm = 0.0631 | mu = 0.0703
i =  42 | cost = 0.1306 | cstr = 1.0021 | nder = 0.0899 | steps = 15 | lagr = 0.1308 | lm = 0.0711 | mu = 0.0669
i =  43 | cost = 0.1293 | cstr = 1.0084 | nder = 0.0794 | steps = 16 | lagr = 0.1300 | lm = 0.0857 | mu = 0.0689
i =  44 | cost = 0.1285 | cstr = 1.0120 | nder = 0.0724 | steps = 16 | lagr = 0.1296 | lm = 0.1010 | mu = 0.0769
i =  45 | cost = 0.1275 | cstr = 1.0170 | nder = 0.0690 | steps = 16 | lagr = 0.1293 | lm = 0.1223 | mu = 0.0884
i =  46 | cost = 0.1271 | cstr = 1.0166 | nder = 0.0717 | steps = 16 | lagr = 0.1291 | lm = 0.1377 | mu = 0.1046
i =  47 | cost = 0.1270 | cstr = 1.0154 | nder = 0.0765 | steps = 16 | lagr = 0.1291 | lm = 0.1511 | mu = 0.1204
i =  48 | cost = 0.1271 | cstr = 1.0112 | nder = 0.0788 | steps = 16 | lagr = 0.1287 | lm = 0.1575 | mu = 0.1350
i =  49 | cost = 0.1271 | cstr = 1.0084 | nder = 0.0810 | steps = 16 | lagr = 0.1284 | lm = 0.1624 | mu = 0.1457
i =  50 | cost = 0.1271 | cstr = 1.0054 | nder = 0.0818 | steps = 16 | lagr = 0.1280 | lm = 0.1645 | mu = 0.1537
i =  51 | cost = 0.1273 | cstr = 1.0015 | nder = 0.0799 | steps = 16 | lagr = 0.1275 | lm = 0.1617 | mu = 0.1588
i =  52 | cost = 0.1274 | cstr = 0.9977 | nder = 0.0762 | steps = 16 | lagr = 0.1270 | lm = 0.1557 | mu = 0.1602
i =  53 | cost = 0.1274 | cstr = 0.9949 | nder = 0.0723 | steps = 16 | lagr = 0.1266 | lm = 0.1479 | mu = 0.1581
i =  54 | cost = 0.1272 | cstr = 0.9933 | nder = 0.0689 | steps = 16 | lagr = 0.1262 | lm = 0.1399 | mu = 0.1532
i =  55 | cost = 0.1269 | cstr = 0.9932 | nder = 0.0665 | steps = 15 | lagr = 0.1259 | lm = 0.1333 | mu = 0.1469
i =  56 | cost = 0.1266 | cstr = 0.9919 | nder = 0.0645 | steps = 16 | lagr = 0.1255 | lm = 0.1243 | mu = 0.1405
i =  57 | cost = 0.1260 | cstr = 0.9926 | nder = 0.0627 | steps = 16 | lagr = 0.1251 | lm = 0.1181 | mu = 0.1328
i =  58 | cost = 0.1257 | cstr = 0.9922 | nder = 0.0616 | steps = 16 | lagr = 0.1248 | lm = 0.1104 | mu = 0.1259
i =  59 | cost = 0.1258 | cstr = 0.9901 | nder = 0.0634 | steps = 16 | lagr = 0.1247 | lm = 0.0988 | mu = 0.1186
i =  60 | cost = 0.1253 | cstr = 0.9908 | nder = 0.0645 | steps = 16 | lagr = 0.1244 | lm = 0.0908 | mu = 0.1092
i =  61 | cost = 0.1249 | cstr = 0.9929 | nder = 0.0650 | steps = 16 | lagr = 0.1242 | lm = 0.0864 | mu = 0.1006
i =  62 | cost = 0.1244 | cstr = 0.9955 | nder = 0.0643 | steps = 16 | lagr = 0.1240 | lm = 0.0850 | mu = 0.0939
i =  63 | cost = 0.1236 | cstr = 0.9993 | nder = 0.0611 | steps = 16 | lagr = 0.1235 | lm = 0.0883 | mu = 0.0897
i =  64 | cost = 0.1233 | cstr = 0.9998 | nder = 0.0606 | steps = 15 | lagr = 0.1233 | lm = 0.0886 | mu = 0.0890
i =  65 | cost = 0.1229 | cstr = 1.0014 | nder = 0.0592 | steps = 16 | lagr = 0.1230 | lm = 0.0916 | mu = 0.0888
i =  66 | cost = 0.1226 | cstr = 1.0024 | nder = 0.0584 | steps = 16 | lagr = 0.1228 | lm = 0.0950 | mu = 0.0901
i =  67 | cost = 0.1225 | cstr = 1.0027 | nder = 0.0590 | steps = 16 | lagr = 0.1227 | lm = 0.0978 | mu = 0.0924
i =  68 | cost = 0.1245 | cstr = 1.0025 | nder = 0.2823 | steps = 16 | lagr = 0.1247 | lm = 0.1000 | mu = 0.0949
i =  69 | cost = 0.1277 | cstr = 1.0021 | nder = 0.2995 | steps = 16 | lagr = 0.1279 | lm = 0.1016 | mu = 0.0973
i =  70 | cost = 0.1272 | cstr = 0.9998 | nder = 0.1449 | steps = 16 | lagr = 0.1272 | lm = 0.0989 | mu = 0.0993
i =  71 | cost = 0.1266 | cstr = 0.9978 | nder = 0.1395 | steps = 16 | lagr = 0.1263 | lm = 0.0947 | mu = 0.0991
i =  72 | cost = 0.1256 | cstr = 0.9973 | nder = 0.0987 | steps = 16 | lagr = 0.1254 | lm = 0.0916 | mu = 0.0970
i =  73 | cost = 0.1250 | cstr = 0.9979 | nder = 0.0958 | steps = 16 | lagr = 0.1248 | lm = 0.0903 | mu = 0.0945
i =  74 | cost = 0.1244 | cstr = 0.9957 | nder = 0.0859 | steps = 16 | lagr = 0.1240 | lm = 0.0841 | mu = 0.0926
i =  75 | cost = 0.1236 | cstr = 0.9954 | nder = 0.0851 | steps = 16 | lagr = 0.1232 | lm = 0.0794 | mu = 0.0886
i =  76 | cost = 0.1228 | cstr = 0.9944 | nder = 0.0829 | steps = 16 | lagr = 0.1223 | lm = 0.0731 | mu = 0.0844
i =  77 | cost = 0.1221 | cstr = 0.9935 | nder = 0.0762 | steps = 15 | lagr = 0.1216 | lm = 0.0661 | mu = 0.0791
