Info    : Reading '../results/t12/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : Done reading '../results/t12/domain.msh'

	Heat conduction with two sinks (single) - Data Parallelism

> Path = ../results/t12
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.1881 | cstr = 1.3151 | nder = 3.1994 | steps =  0 | lagr = 1.1881 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 1.1568 | cstr = 1.3213 | nder = 2.6260 | steps = 12 | lagr = 1.2599 | lm = 0.6419 | mu = 0.0000
i =   2 | cost = 1.1322 | cstr = 1.3258 | nder = 2.3964 | steps = 12 | lagr = 1.3122 | lm = 0.8780 | mu = 0.2271
i =   3 | cost = 1.1080 | cstr = 1.3294 | nder = 2.1980 | steps = 12 | lagr = 1.3664 | lm = 1.1134 | mu = 0.4552
i =   4 | cost = 1.0824 | cstr = 1.3334 | nder = 2.0282 | steps = 12 | lagr = 1.4215 | lm = 1.3503 | mu = 0.6841
i =   5 | cost = 1.0612 | cstr = 1.3344 | nder = 1.9176 | steps = 13 | lagr = 1.4785 | lm = 1.5820 | mu = 0.9139
i =   6 | cost = 1.0420 | cstr = 1.3345 | nder = 1.8841 | steps = 12 | lagr = 1.5363 | lm = 1.8120 | mu = 1.1437
i =   7 | cost = 1.0339 | cstr = 1.3318 | nder = 1.9269 | steps = 14 | lagr = 1.5994 | lm = 2.0362 | mu = 1.3733
i =   8 | cost = 1.0207 | cstr = 1.3272 | nder = 1.9966 | steps = 13 | lagr = 1.6518 | lm = 2.2557 | mu = 1.6020
i =   9 | cost = 1.0169 | cstr = 1.3219 | nder = 2.1247 | steps = 12 | lagr = 1.7093 | lm = 2.4724 | mu = 1.8291
i =  10 | cost = 1.0134 | cstr = 1.3146 | nder = 2.2703 | steps = 13 | lagr = 1.7587 | lm = 2.6832 | mu = 2.0546
i =  11 | cost = 1.0125 | cstr = 1.3072 | nder = 2.4384 | steps = 13 | lagr = 1.8066 | lm = 2.8915 | mu = 2.2776
i =  12 | cost = 1.0144 | cstr = 1.2985 | nder = 2.6152 | steps = 13 | lagr = 1.8491 | lm = 3.0945 | mu = 2.4981
i =  13 | cost = 1.0187 | cstr = 1.2901 | nder = 2.8020 | steps = 12 | lagr = 1.8903 | lm = 3.2950 | mu = 2.7155
i =  14 | cost = 1.0223 | cstr = 1.2809 | nder = 2.9931 | steps = 13 | lagr = 1.9240 | lm = 3.4908 | mu = 2.9296
