Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 1.8062 | cstr = 1.3224 | nder = 4.9915 | steps = 11 | lagr = 2.5542 | lm = 0.6441 | mu = 0.0000
i =   2 | cost = 1.7752 | cstr = 1.3283 | nder = 4.6489 | steps = 11 | lagr = 2.8409 | lm = 0.8834 | mu = 0.2274
i =   3 | cost = 1.7480 | cstr = 1.3347 | nder = 4.3230 | steps = 11 | lagr = 3.1375 | lm = 1.1249 | mu = 0.4563
i =   4 | cost = 1.7243 | cstr = 1.3408 | nder = 4.0348 | steps = 11 | lagr = 3.4418 | lm = 1.3675 | mu = 0.6866
i =   5 | cost = 1.6956 | cstr = 1.3468 | nder = 3.7471 | steps = 12 | lagr = 3.7453 | lm = 1.6111 | mu = 0.9183
i =   6 | cost = 1.6684 | cstr = 1.3523 | nder = 3.4635 | steps = 12 | lagr = 4.0532 | lm = 1.8552 | mu = 1.1512
i =   7 | cost = 1.6455 | cstr = 1.3556 | nder = 3.2560 | steps = 13 | lagr = 4.3599 | lm = 2.0955 | mu = 1.3851
i =   8 | cost = 1.6280 | cstr = 1.3590 | nder = 3.0875 | steps = 13 | lagr = 4.6752 | lm = 2.3369 | mu = 1.6195
i =   9 | cost = 1.6084 | cstr = 1.3617 | nder = 2.9415 | steps = 12 | lagr = 4.9870 | lm = 2.5772 | mu = 1.8545
i =  10 | cost = 1.5927 | cstr = 1.3626 | nder = 2.8630 | steps = 13 | lagr = 5.2960 | lm = 2.8142 | mu = 2.0897
i =  11 | cost = 1.5766 | cstr = 1.3622 | nder = 2.8163 | steps = 13 | lagr = 5.5985 | lm = 3.0487 | mu = 2.3249
i =  12 | cost = 1.5673 | cstr = 1.3602 | nder = 2.8351 | steps = 13 | lagr = 5.8984 | lm = 3.2794 | mu = 2.5598
i =  13 | cost = 1.5589 | cstr = 1.3573 | nder = 2.8882 | steps = 12 | lagr = 6.1929 | lm = 3.5080 | mu = 2.7940
i =  14 | cost = 1.5543 | cstr = 1.3533 | nder = 2.9649 | steps = 13 | lagr = 6.4816 | lm = 3.7332 | mu = 3.0274
i =  15 | cost = 1.5525 | cstr = 1.3478 | nder = 3.0759 | steps = 12 | lagr = 6.7617 | lm = 3.9546 | mu = 3.2597
i =  16 | cost = 1.5498 | cstr = 1.3418 | nder = 3.2025 | steps = 12 | lagr = 7.0327 | lm = 4.1733 | mu = 3.4905
i =  17 | cost = 1.5506 | cstr = 1.3358 | nder = 3.3545 | steps = 13 | lagr = 7.3027 | lm = 4.3905 | mu = 3.7197
i =  18 | cost = 1.5529 | cstr = 1.3279 | nder = 3.5058 | steps = 13 | lagr = 7.5568 | lm = 4.6022 | mu = 3.9471
i =  19 | cost = 1.5547 | cstr = 1.3210 | nder = 3.6714 | steps = 12 | lagr = 7.8106 | lm = 4.8136 | mu = 4.1722
i =  20 | cost = 1.5618 | cstr = 1.3122 | nder = 3.8427 | steps = 11 | lagr = 8.0503 | lm = 5.0189 | mu = 4.3951
i =  21 | cost = 1.5687 | cstr = 1.3038 | nder = 4.0129 | steps = 12 | lagr = 8.2849 | lm = 5.2221 | mu = 4.6152
i =  22 | cost = 1.5768 | cstr = 1.2949 | nder = 4.1859 | steps = 12 | lagr = 8.5104 | lm = 5.4216 | mu = 4.8324
i =  23 | cost = 1.5850 | cstr = 1.2848 | nder = 4.3566 | steps = 11 | lagr = 8.7182 | lm = 5.6152 | mu = 5.0463
i =  24 | cost = 1.5943 | cstr = 1.2760 | nder = 4.5254 | steps = 11 | lagr = 8.9287 | lm = 5.8077 | mu = 5.2563
i =  25 | cost = 1.6015 | cstr = 1.2673 | nder = 4.6974 | steps = 12 | lagr = 9.1296 | lm = 5.9967 | mu = 5.4627
i =  26 | cost = 1.6103 | cstr = 1.2578 | nder = 4.8603 | steps = 11 | lagr = 9.3179 | lm = 6.1805 | mu = 5.6653
i =  27 | cost = 1.6210 | cstr = 1.2476 | nder = 5.0227 | steps = 12 | lagr = 9.4924 | lm = 6.3584 | mu = 5.8637
i =  28 | cost = 1.6272 | cstr = 1.2382 | nder = 5.1844 | steps = 12 | lagr = 9.6600 | lm = 6.5331 | mu = 6.0571
i =  29 | cost = 1.6371 | cstr = 1.2288 | nder = 5.3376 | steps = 12 | lagr = 9.8215 | lm = 6.7029 | mu = 6.2458
i =  30 | cost = 1.6491 | cstr = 1.2181 | nder = 5.4763 | steps = 11 | lagr = 9.9644 | lm = 6.8652 | mu = 6.4294
i =  31 | cost = 1.6628 | cstr = 1.2076 | nder = 5.6107 | steps = 12 | lagr = 10.0992 | lm = 7.0219 | mu = 6.6071
i =  32 | cost = 1.6730 | cstr = 1.1984 | nder = 5.7476 | steps = 12 | lagr = 10.2326 | lm = 7.1751 | mu = 6.7787
i =  33 | cost = 1.6842 | cstr = 1.1880 | nder = 5.8702 | steps = 11 | lagr = 10.3448 | lm = 7.3201 | mu = 6.9446
i =  34 | cost = 1.6945 | cstr = 1.1791 | nder = 5.9885 | steps = 12 | lagr = 10.4602 | lm = 7.4616 | mu = 7.1038
i =  35 | cost = 1.7079 | cstr = 1.1677 | nder = 6.0888 | steps = 12 | lagr = 10.5455 | lm = 7.5922 | mu = 7.2571
i =  36 | cost = 1.7209 | cstr = 1.1576 | nder = 6.1883 | steps = 11 | lagr = 10.6296 | lm = 7.7174 | mu = 7.4025
i =  37 | cost = 1.7345 | cstr = 1.1475 | nder = 6.2813 | steps = 12 | lagr = 10.7037 | lm = 7.8354 | mu = 7.5407
