Info    : Reading '../results/t20/domain.msh'...
Info    : 13 entities
Info    : 8331 nodes
Info    : 16378 elements
Info    : Done reading '../results/t20/domain.msh'

	Symmetric Cantilever 2D (non-rectangular domain) - Data Parallelism

> Path = ../results/t20
> Nbr of triangles = 16304
> Iterations:
i =   0 | cost = 5.2693 | cstr = 1.0903 | nder = 13.3858 | steps =  0 | lagr = 5.2693 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 4.3452 | cstr = 1.1189 | nder = 8.6315 | steps = 13 | lagr = 4.5969 | lm = 0.2375 | mu = 0.0000
i =   2 | cost = 3.6993 | cstr = 1.1483 | nder = 5.8226 | steps = 13 | lagr = 4.1464 | lm = 0.4085 | mu = 0.1123
i =   3 | cost = 3.2763 | cstr = 1.1753 | nder = 4.1417 | steps = 14 | lagr = 3.9488 | lm = 0.5984 | mu = 0.2482
i =   4 | cost = 2.9689 | cstr = 1.2005 | nder = 2.9718 | steps = 15 | lagr = 3.8942 | lm = 0.8042 | mu = 0.4037
i =   5 | cost = 2.7303 | cstr = 1.2271 | nder = 2.1478 | steps = 15 | lagr = 3.9418 | lm = 1.0293 | mu = 0.5756
i =   6 | cost = 2.5705 | cstr = 1.2468 | nder = 1.5896 | steps = 15 | lagr = 4.0755 | lm = 1.2559 | mu = 0.7628
i =   7 | cost = 2.4484 | cstr = 1.2638 | nder = 1.1868 | steps = 14 | lagr = 4.2580 | lm = 1.4869 | mu = 0.9599
i =   8 | cost = 2.3716 | cstr = 1.2708 | nder = 0.9393 | steps = 16 | lagr = 4.4659 | lm = 1.7057 | mu = 1.1647
i =   9 | cost = 2.3133 | cstr = 1.2741 | nder = 0.7894 | steps = 16 | lagr = 4.6844 | lm = 1.9199 | mu = 1.3723
i =  10 | cost = 2.2932 | cstr = 1.2662 | nder = 0.7679 | steps = 16 | lagr = 4.8978 | lm = 2.1130 | mu = 1.5810
i =  11 | cost = 2.2786 | cstr = 1.2543 | nder = 0.7622 | steps = 16 | lagr = 5.0918 | lm = 2.2944 | mu = 1.7863
i =  12 | cost = 2.2848 | cstr = 1.2352 | nder = 0.8006 | steps = 16 | lagr = 5.2629 | lm = 2.4558 | mu = 1.9860
i =  13 | cost = 2.2989 | cstr = 1.2116 | nder = 0.8439 | steps = 16 | lagr = 5.4031 | lm = 2.5989 | mu = 2.1761
i =  14 | cost = 2.3212 | cstr = 1.1833 | nder = 0.8838 | steps = 16 | lagr = 5.5054 | lm = 2.7194 | mu = 2.3531
i =  15 | cost = 2.3459 | cstr = 1.1541 | nder = 0.9086 | steps = 16 | lagr = 5.5770 | lm = 2.8203 | mu = 2.5124
i =  16 | cost = 2.3822 | cstr = 1.1192 | nder = 0.9225 | steps = 16 | lagr = 5.6016 | lm = 2.8891 | mu = 2.6509
i =  17 | cost = 2.4141 | cstr = 1.0852 | nder = 0.9114 | steps = 15 | lagr = 5.5885 | lm = 2.9320 | mu = 2.7618
i =  18 | cost = 2.4481 | cstr = 1.0546 | nder = 0.8795 | steps = 15 | lagr = 5.5586 | lm = 2.9522 | mu = 2.8431
i =  19 | cost = 2.4817 | cstr = 1.0265 | nder = 0.8464 | steps = 16 | lagr = 5.5083 | lm = 2.9491 | mu = 2.8960
